Seismic Zone,PGA (m/s²),PGV (m/s),PGD (m),Spectral Acceleration (g),Soil Type,Site Amplification Factor,Historical Earthquake Magnitude (Mw),Fault Distance (km),Seismic Wave Frequency (Hz)
High,0.37890138485167435,0.3120266999187702,0.05718264279806804,0.6340755085228525,Sand,0.9391574995770952,6.875154487330294,22.203449021219097,1.6831411257388627
Very High,1.3463010036906442,1.2558070500147662,0.20448123916867517,1.7285508130201719,Clay,1.0897609774539814,6.829334227790852,6.947243667143262,4.041679985876774
Low,0.5023734350518116,0.6339945253170893,0.4433038006181107,0.1568200731403564,Rock,2.6892389307650766,7.100446866484091,33.224830474487405,5.841681420011114
High,0.614900382858614,0.4296424956745418,0.02455115414699212,1.0856478345160236,Rock,2.194323226444033,7.871919098140955,15.22507489323706,9.485727490343614
High,0.1813287329124897,0.8215278935467031,0.4807468932013827,0.38305602998417565,Rock,1.3570425594139488,8.841107154728075,71.28337426999038,0.7806344256779054
Very High,0.25611709724978693,1.6227469748236119,0.3399021215914618,1.3107743488011698,Rock,2.021650815721999,4.831035093970946,53.838815953473,5.12320152906511
Low,0.8222066637972593,0.8449777961186881,0.3160566128440449,0.3990134818117256,Soft Soil,1.960675169335771,4.740455710759577,15.239612628040778,3.3563058042861718
Low,0.4746297474191601,1.526462333501006,0.1360090689875077,0.5001515452272078,Rock,2.241959152569455,8.718976518333022,1.9149172521459223,5.132285773339276
High,1.2696723160390722,0.3384239639183863,0.12514710258084935,0.9404303787777887,Soft Soil,1.313012619727556,6.884440314831927,81.00754785339706,0.3373569290276636
Moderate,0.12057074411693539,1.5682656973636504,0.4710870515248091,1.6552194149946928,Soft Soil,2.701686571827675,7.267063565551212,18.443246210260504,3.198951011545655
High,0.6307316681407106,0.5501733173226324,0.14983795466282726,0.4599144326515504,Rock,1.4806108365760284,6.67090620717628,61.01544757985583,8.21669466051735
High,0.5722837654767298,1.3870469467888584,0.3879771430627807,0.345208035900776,Rock,2.3270896387477213,4.921458536733635,34.35526939459781,5.584023165160911
High,0.12705868328464145,1.1749849541978932,0.1971677773053325,1.390260614151852,Sand,0.8354742220188728,7.956402202884,58.96310789318852,4.560766678879562
High,0.2741157586007143,1.865374962702206,0.07048778132156729,0.9510532049676826,Clay,1.6198456857671242,7.8625109028986415,32.24970907125008,2.926698209981862
Very High,0.6790997448860893,0.8359127841530966,0.0063469335499841155,1.6500346910490113,Rock,1.5737615995093783,5.902664946717654,9.607016508533162,3.050620975634424
Low,0.7900104182264253,0.22571385878543684,0.27258441117061016,0.3492447471717319,Sand,1.995665742882632,5.878076603527802,23.072050847217607,3.8927041925467862
Very High,0.6660056461568167,0.13639542254738052,0.4879136304559174,1.198077418139167,Sand,0.9600197759098323,8.270286214074833,19.617798081428482,8.372150028649148
Very High,0.8433127497769313,1.671031265848231,0.18519896071079303,0.49589454845808556,Clay,2.5382890221974383,4.82560765983597,43.37391589152474,9.675410747401857
Very High,0.9331843448679541,1.096997711556721,0.1792389746625294,0.3664927287077868,Soft Soil,1.2791177638886508,8.464973167604546,66.17009455918958,4.442688275368708
High,0.11389334957896989,1.5729636984864037,0.17270171730687162,1.26183000576736,Rock,2.2894831927404224,5.654977604531615,27.1168014196894,3.9941931036028424
Moderate,0.7497332232349053,0.5454086400218779,0.26075137481512434,1.1092638538448465,Clay,2.567066671137005,7.168431364899723,2.1949235947611774,8.480852680616643
Low,1.4488989372426238,0.755659116475144,0.2208917768287225,1.3832066792159632,Rock,2.036129303731329,8.711973805507998,52.37479906221093,4.326362674299405
Moderate,0.8266451921813681,0.157197357201506,0.4400773987367802,0.62608637995851,Sand,2.4299430547883683,7.551551256914909,60.970189446538235,5.564979905726947
Very High,1.0485591744425344,1.926835416690813,0.25325487507002165,0.8615518158497228,Sand,2.2560926868730125,6.364934156101665,96.32417890617916,2.38632247952757
Very High,0.5366094010836364,1.3689490227315455,0.2543711612560958,0.7893018497617114,Soft Soil,1.5821655537344168,7.602903940074368,59.35760950623144,7.460675104212845
Moderate,1.1835879294138676,1.8730896667426817,0.07004742576555774,1.772952088743074,Sand,2.579488785873844,6.047908363423666,47.64608337843604,5.36668435088074
Moderate,1.1820900746265612,0.6044431741152374,0.4913870309142826,0.5968232264569594,Sand,1.4483430137481617,5.747662873571338,57.76676096387268,8.109442047379382
Moderate,0.8298144667157945,1.2617808613287556,0.125736472543546,0.6011893051895036,Clay,2.056668419053338,8.985074750706058,92.86216235634068,7.82925402728383
Very High,1.466419352590899,1.3891499397560119,0.037608669662341734,0.7027319550086325,Rock,2.439875026111387,7.878556040309045,83.00943641456298,2.228547205873283
Very High,0.2757703006677147,0.703344430489418,0.33190997823862917,1.0598099381935466,Rock,1.633703001587517,7.401239898218179,32.97489460301699,7.184791950521848
Low,0.1237267308454134,1.7114075465296972,0.29808781870827944,0.5289486652483669,Clay,1.4660887367583353,6.098803394486934,24.48818200205659,8.020538638718577
Low,1.1782214964599345,1.899606779510471,0.2081576813423801,1.6559928986447656,Soft Soil,1.8105612223802101,4.721223731197717,27.00072762424129,3.5264616837457115
Very High,1.2300177523108355,1.7812247236224081,0.21167392470645835,0.551665460272648,Rock,2.5995196875681383,4.6397559421582,50.93768293180609,1.8088302177325182
Moderate,0.26829012076880676,1.5042272542848079,0.39274689660216916,1.622886743652331,Sand,2.8458278789204625,6.993815649519595,74.6608956716292,0.12605834023792298
Moderate,0.47181596614204846,0.6271828914774126,0.09866060740972488,0.2759076081991939,Rock,1.9991835082917584,7.92914724467573,50.81870151111325,4.563946165622166
Low,0.12457330871328048,0.6350704800007002,0.4103064061535,1.216156594079409,Sand,2.255225651712034,6.918206356997348,7.711843186983146,3.589084042234532
Very High,0.5106320550927905,1.930384608847472,0.32472480983361407,1.6418753813450144,Soft Soil,2.7872019689256113,8.283532823726016,72.63448934355812,5.593607354871549
Low,1.18239862348614,0.11954054227781485,0.21006591711598266,0.3868740452769902,Clay,1.0168030731084734,4.650419398919498,80.79104273842444,1.9616068166289793
Low,0.8251447387976104,1.4604949491600745,0.22955627967535044,1.7461558321687336,Rock,1.3105728713055633,6.1503843439167305,29.660288646852244,8.610688921898104
High,0.5873338304356033,1.4418677088549983,0.1290669563858618,0.8699017127063698,Clay,2.3595800137534813,5.5668167602838015,66.74844818905169,2.651776634718286
High,0.6204350128688624,1.283110127804615,0.37630505201579045,1.7077156843497416,Rock,2.6122378162070596,6.512728356707049,43.23259820438494,2.341653090367735
High,0.10189507600165543,1.981206807565045,0.2569244964103286,1.25059407417108,Sand,2.6854638623272713,4.825693769373551,89.02281621701684,4.859069159195124
Moderate,0.5197207385913303,0.6925709279510779,0.16110641683217194,0.6126976787850376,Clay,1.7132357890808518,8.793592387069825,84.67733025791324,5.038625135068315
Very High,1.0050422382931026,0.7459465412071715,0.29842900776471415,0.42011429235908093,Rock,0.9965477850421071,5.5046493048121246,53.017767832654584,2.2293437649724193
Very High,1.4638722213429,0.24998486559845554,0.4978714915736102,0.6163495785826689,Sand,1.763119250059164,8.65038498967613,69.45904903554585,2.791421194586566
Very High,1.2858851577774593,0.941316459433101,0.21819587754862035,0.2581295957465475,Clay,1.3076160984555183,6.4165191976650675,88.4516204011883,1.780081867636925
Very High,0.13303295050374078,0.5959921998462113,0.46042500898853117,0.3445755427836606,Clay,1.4406322009925732,8.934858599648482,50.075983997749276,7.212755765399351
High,1.357984846544775,0.7524347341375239,0.17316340312235848,0.27792274858901794,Rock,2.498988625042513,6.993262725570949,32.011823308393375,7.7238814094154105
Moderate,1.1964777786180762,1.6856864014856925,0.028311620755567958,0.8190040243606481,Rock,0.9661595892569512,8.688747888791134,75.61294765304855,4.677052124846898
Moderate,1.1925265729993726,1.877420575702242,0.102916811077846,1.452483239637897,Rock,2.620678678457545,4.524070449124003,22.786559223684485,7.169461524581672
High,0.741194062605,0.4528928368098527,0.20992887652051442,0.3403520421677783,Sand,1.740871988813172,7.86707462781405,39.464583652598165,7.38576038018071
Moderate,0.6572074101363039,0.8077669699515851,0.11059782936868993,0.321544736392971,Rock,2.1113406484213093,8.56372793896132,86.70699647357257,1.4689277240103051
High,0.5240820203664697,1.8643980680192487,0.0011132920709095132,1.1938292141794624,Clay,0.9972349087184939,5.128742551405294,72.71781168666219,9.665162445861913
Very High,0.1919728025361121,0.217436075309523,0.4575857673360161,0.43521106934571263,Clay,1.5421899723860153,4.932566332794682,40.97728951950243,8.228216276254667
High,0.4195295088911787,0.2754850034116192,0.4220958262042336,0.2659370647852857,Rock,0.9973420218326607,6.4105767323368,22.25970573842738,2.1243862658386528
